year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1986,Lonnie Smith,118,2901,245,5,9,['OF'],['Kansas City Royals']
1986,Lou Whitaker,141,3622,276,421,11,['2B'],['Detroit Tigers']
1986,Manny Trillo,70,1059,114,63,5,"['2B', '1B', '3B']",['Chicago Cubs']
1986,Mark Langston,37,718,7,27,6,['P'],['Seattle Mariners']
1986,Mark McGwire,16,369,10,20,6,['3B'],['Oakland Athletics']
1986,Mark McLemore,2,51,3,10,0,['2B'],['California Angels']
1986,Michael Jackson,9,40,2,0,0,['P'],['Philadelphia Phillies']
1986,Mike Flanagan,29,516,4,17,0,['P'],['Baltimore Orioles']
1986,Mike Marshall,97,2381,149,8,6,['OF'],['Los Angeles Dodgers']
1986,Mike Morgan,37,649,14,27,2,['P'],['Seattle Mariners']
1986,Mike Schmidt,159,3948,347,238,8,"['1B', '3B']",['Philadelphia Phillies']
1986,Milt Wilcox,13,167,4,9,0,['P'],['Seattle Mariners']
1986,Nolan Ryan,30,534,10,17,2,['P'],['Houston Astros']
1986,Orel Hershiser,35,694,22,36,3,['P'],['Los Angeles Dodgers']
1986,Otis Nixon,95,898,90,3,3,['OF'],['Cleveland Indians']
1986,Ozzie Guillen,157,3967,261,459,22,['SS'],['Chicago White Sox']
1986,Ozzie Smith,144,3861,229,453,15,['SS'],['St. Louis Cardinals']
1986,Ozzie Virgil,111,2808,682,93,13,['C'],['Atlanta Braves']
1986,Paul Molitor,95,2514,86,171,15,"['OF', '3B']",['Milwaukee Brewers']
1986,Pete O'Brien,155,3866,1224,115,11,['1B'],['Texas Rangers']
1986,Pete Rose,61,1561,523,43,6,['1B'],['Cincinnati Reds']
1986,Phil Garner,91,2109,66,152,23,"['2B', '3B']",['Houston Astros']
1986,Phil Niekro,34,631,9,32,4,['P'],['Cleveland Indians']
1986,Rafael Belliard,119,2493,147,317,12,"['2B', 'SS']",['Pittsburgh Pirates']
